Title,Land Size,Location,Total Price,Monthly Payment
Land For Sale In Rambukkana,25.8 Perches,,"3,741,000","53,153"
Land For Sale In Kadawatha,13.2 Perches,,"5,280,000","75,020"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-1000sqft",,"6,000,000","85,250"
Land With House For Sale In Biyagama,25 Perches,,,
Land For Sale In Ruwanwella,4 Acres,,"25,000,000","355,207"
Land For Sale In Mattegoda,7.5 Perches,,"5,250,000","74,594"
Land For Sale In Wattala,680 Perches,,"204,000,000","2,898,492"
Land For Sale In Bope,13.7 Perches,,"3,014,000","42,824"
Land For Sale In Minuwangoda,12.8 Perches,,"8,832,000","125,488"
Land For Sale In Dambulla,48 Perches,,"60,000,000","852,498"
House For Sale In Kalugamuwa,"Beds-3, Baths-1 Size-900sqft",,"4,500,000","63,937"
Annex For Rent In Peradeniya,"Beds-1, Baths-1",,,"18,000"
House For Sale In Mount Lavinia,"Beds-4, Baths-4 Size-2178sqft",,"39,000,000","554,124"
Land For Sale In Agalawatta,10 Perches,,"3,000,000","42,625"
House For Rent In Talawatugoda,"Beds-4, Baths-2 Size-2500sqft",,,"155,000"
Land For Sale In Waga,26 Perches,,"2,800,000","39,783"
House For Sale In Kegalle,"Beds-4, Baths-2 Size-1400sqft",,"28,500,000","404,936"
Land For Sale In Embilipitiya,40 Perches,,"5,600,000","79,566"
House For Sale In Polgahawela,"Beds-3, Baths-1 Size-940sqft",,"5,000,000","71,041"
Land For Sale In Marandagahamula,25 Perches,,"13,750,000","195,364"
House For Sale In Kataragama,"Beds-3, Baths-2 Size-2800sqft",,"6,500,000","92,354"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Mattegoda,6.3 Perches,,"4,725,000","67,134"
House For Sale In Kiribathgoda,"Beds-2, Baths-2 Size-2500sqft",,"18,000,000","255,749"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Kottawa,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Panadura,6.2 Perches,,"4,185,000","59,462"
Land For Sale In Yatadolawatta,10 Perches,,"5,500,000","78,146"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Aniwatta,12 Perches,,"7,200,000","102,300"
Land With Half Built House For Sale In Hakmana,10 Perches,,"30,000,000","426,249"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Homagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Maggona,12.5 Perches,,"1,500,000","21,312"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
House For Sale In Pita Kotte,"Beds-5, Baths-4 Size-2550sqft",,"80,000,000","1,136,664"
House For Sale In Bandarawela,"Beds-4, Baths-2 Size-3000sqft",,"13,000,000","184,708"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1550sqft",,"29,500,000","419,145"
House For Sale In Negombo,"Beds-3, Baths-3 Size-2375sqft",,"52,000,000","738,831"
House For Sale In Negombo,"Beds-5, Baths-3 Size-4550sqft",,"69,500,000","987,477"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1550sqft",,"29,500,000","419,145"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Sale In Beruwala,"Beds-2, Baths-1 Size-sqft",,"17,000,000","241,541"
House For Sale In Negombo,"Beds-5, Baths-3 Size-2850sqft",,"35,000,000","497,290"
House For Sale In Negombo,"Beds-5, Baths-2 Size-2100sqft",,"26,000,000","369,416"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-5000sqft",,"60,000,000","852,498"
House For Rent In Kolonnawa,"Beds-2, Baths-1 Size-3000sqft",,,"30,000"
House For Sale In Dehiwala,"Beds-7, Baths-3 Size-3000sqft",,"85,000,000","1,207,705"
Land For Sale In Hambantota,10 Acres,,"11,000,000","156,291"
House For Sale In Ragama,"Beds-4, Baths-3 Size-sqft",,"25,000,000","355,207"
House For Sale In Kahathuduwa,"Beds-1, Baths-1 Size-1500sqft",,"12,000,000","170,500"
Land For Sale In Kebithigollewa,17 Perches,,"4,250,000","60,385"
Land For Sale In Kosgama,11 Perches,,"2,750,000","39,073"
Land For Sale In Tangalla,35 Perches,,"4,500,000","63,937"
Land For Sale In Narammala,12.5 Perches,,"3,000,000","42,625"
House For Sale In Kelaniya,"Beds-4, Baths-2 Size-sqft",,,
Land For Sale In Maharagama,4.75 Perches,,"10,925,000",
House For Sale In Gothatuwa,"Beds-4, Baths-3 Size-10sqft",,,
House For Sale In Yakkala,"Beds-3, Baths-1 Size-1800sqft",,"6,500,000","92,354"
Land With House For Sale In Kahathuduwa,48 Perches,,"21,600,000","306,899"
Land For Sale In Panadura,6.3 Perches,,"4,252,500","60,421"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
Land For Sale In Hanwella,10 Perches,,"3,000,000","42,625"
House For Sale In Malabe,"Beds-3, Baths-2 Size-2178sqft",,"30,000,000","426,249"
House For Sale In Torayaya,"Beds-3, Baths-1 Size-1925sqft",,"4,800,000","68,200"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
House For Sale In Kotugoda,"Beds-3, Baths-2 Size-2800sqft",,"14,000,000","198,916"
House For Sale In Horana,"Beds-2, Baths-1 Size-1300sqft",,"6,800,000","96,616"
Apartment For Sale In Colombo 15,"Beds-2, Baths-1 Size-2000sqft",,"5,700,000","80,987"
Room For Rent In Piliyandala,"Beds-1, Baths-1",,,"6,500"
Land For Sale In Matale,10 Perches,,"13,000,000","184,708"
Land For Sale In Athurugiriya,7.7 Perches,,"3,542,000","50,326"
Land For Sale In Tangalla,19 Perches,,"3,800,000","53,992"
Land For Sale In Moragahahena,10 Perches,,"4,700,000","66,779"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Bemmulla,"Beds-2, Baths-1 Size-1600sqft",,"6,500,000","92,354"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Galigamuwa Town,10 Perches,,"1,250,000","17,760"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
Land For Sale In Kegalle Meepitiya,10 Perches,,"2,500,000","35,521"
Land For Sale In Uhumiya,16.25 Perches,,"4,143,750","58,876"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
Land With House For Sale In Battaramulla,10 Perches,,"43,000,000","610,957"
Land For Sale In Bandaragama,60 Perches,,"13,500,000","191,812"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
House For Sale In Yakkala,"Beds-2, Baths-2 Size-1500sqft",,"12,000,000","170,500"
Land For Sale In Buthpitiya,44 Perches,,"22,000,000","312,583"
House For Sale In Kotte,"Beds-5, Baths-3 Size-2760sqft",,"29,000,000","412,041"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
Land For Sale In Homagama,6 Perches,,"5,490,000","78,004"
House For Sale In Divulapitiya,"Beds-4, Baths-2 Size-2100sqft",,"17,500,000","248,645"
House For Sale In Piliyandala,"Beds-4, Baths-4 Size-4500sqft",,"125,000,000","1,776,037"
House For Sale In Nattandiya,"Beds-4, Baths-2 Size-4000sqft",,,
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kahathuduwa,24 Perches,,"9,360,000","132,990"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Horana,10 Perches,,,
Land For Sale In Nawattuduwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Ruwanwella,4 Acres,,"25,000,000","355,207"
Building For Rent In Ambalangoda,6100sqft,,"30,000",
Half Built House For Sale In Mirigama,"Beds-1, Baths-1 Size-1000sqft",,"6,500,000","92,354"
Land For Sale In Beruwala,79 Perches,,"23,000,000","326,791"
House For Rent In Maharagama,"Beds-3, Baths-2 Size-2000sqft",,,"55,000"
Land With House For Sale In Athurugiriya,"Beds-3, Baths-1 Size-sqft",,,
House For Sale In Kataragama,"Beds-2, Baths-1 Size-2800sqft",,"3,000,000","42,625"
House For Sale In Ratmalana,"Beds-7, Baths-5 Size-3291sqft",,"45,000,000","639,373"
House For Sale In Kadawatha,"Beds-5, Baths-3 Size-sqft",,"28,000,000","397,832"
House For Sale In Kadawatha,"Beds-5, Baths-3 Size-sqft",,"28,000,000","397,832"
Land For Sale In Kaleliya,10 Perches,,"6,500,000","92,354"
Land For Sale In Makola,11 Perches,,"10,175,000","144,569"
House For Sale In Imbulgoda,"Beds-3, Baths-2 Size-sqft",,"13,500,000","191,812"
House For Sale In Gampaha,"Beds-5, Baths-2 Size-sqft",,"21,500,000","305,478"
Land For Sale In Rotumba,40 Perches,,"1,500,000","21,312"
House For Sale In Anuradhapura,"Beds-1, Baths-2 Size-2800sqft",,,
Land For Sale In Boyagane,25 Perches,,,
Land For Sale In Nawala,17 Perches,,"125,800,000","1,787,404"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Avissawella,20 Perches,,"5,100,000","72,462"
House For Sale In Negombo,"Beds-5, Baths-3 Size-3850sqft",,"69,500,000","987,477"
House For Sale In Negombo,"Beds-5, Baths-3 Size-3450sqft",,"45,000,000","639,373"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
Land For Sale In Pugoda,40 Perches,,"4,000,000","56,833"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-2314sqft",,"34,000,000","483,082"
House For Sale In Tennekumbura,"Beds-2, Baths-1 Size-1850sqft",,"16,000,000","227,333"
House For Sale In Ratnapura,"Beds-2, Baths-1 Size-1500sqft",,,
Building For Sale In Horana,2000sqft,,,
Land For Sale In Bandaragama,12.5 Perches,,"3,500,000","49,729"
House For Sale In Horana,"Beds-3, Baths-1 Size-2000sqft",,,
Land For Sale In Makola,11 Perches,,"10,175,000","144,569"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-2314sqft",,"34,000,000","483,082"
Land For Sale In Panadura,11 Perches,,"8,000,000","113,666"
Land For Sale In Pokunuwita,6 Perches,,"4,200,000","59,675"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
House For Sale In Battaramulla,"Beds-4, Baths-3 Size-1900sqft",,"47,500,000","674,894"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
House For Sale In Kaduwela,"Beds-3, Baths-1 Size-1400sqft",,,
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
House For Sale In Athurugiriya,"Beds-4, Baths-3 Size-3300sqft",,"55,000,000","781,456"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Jayanthipura,"Beds-3, Baths-2 Size-2000sqft",,"6,500,000","92,354"
House For Rent In Wellampitiya,"Beds-3, Baths-2 Size-1500sqft",,,
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-2500sqft",,"22,500,000","319,687"
House For Rent In Piliyandala,"Beds-3, Baths-2 Size-1850sqft",,,"50,000"
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Land For Sale In Galle,10.8 Perches,,"25,000,000","355,207"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Biyagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1200sqft",,"18,500,000","262,853"
House For Sale In Athurugiriya,"Beds-4, Baths-2 Size-2300sqft",,,
House For Sale In Malabe,"Beds-4, Baths-2 Size-3250sqft",,"39,500,000","561,228"
House For Sale In Kaduwela,"Beds-3, Baths-2 Size-1300sqft",,"21,000,000","298,374"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
Room For Rent In Colombo 15,"Beds-1, Baths-1",,,"8,500"
Land With House For Sale In Akmeemana,15 Perches,,"12,500,000","177,604"
House For Sale In Nugegoda,"Beds-4, Baths-4 Size-7875sqft",,"100,000,000","1,420,830"
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
House For Sale In Wattala,"Beds-2, Baths-2 Size-900sqft",,"28,000,000","397,832"
Land With House For Sale In Biyagama,25 Perches,,,
House For Sale In Ja-Ela,"Beds-3, Baths-2 Size-sqft",,"10,500,000",
House For Sale In Kottawa,"Beds-5, Baths-3 Size-4200sqft",,"36,000,000","511,499"
House For Sale In Piliyandala,"Beds-5, Baths-6 Size-4700sqft",,"69,500,000","987,477"
House For Sale In Battaramulla,"Beds-3, Baths-3 Size-2800sqft",,"55,000,000","781,456"
Land For Sale In Horana,30 Perches,,"7,500,000","106,562"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1350sqft",,"21,500,000","305,478"
House For Sale In Athurugiriya,"Beds-4, Baths-3 Size-4200sqft",,"27,900,000","396,411"
Hotel For Sale In Negombo,7787sqft,,"70,000,000","994,581"
Land For Sale In Malabe,6.4 Perches,,"75,000,000","1,065,622"
House For Rent In Battaramulla,"Beds-2, Baths-1 Size-1000sqft",,,"70,000"
Land For Sale In Kottawa,20 Perches,,"23,000,000","326,791"
House For Sale In Kaduwela,"Beds-3, Baths-2 Size-1300sqft",,"21,000,000","298,374"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1350sqft",,"21,500,000","305,478"
House For Sale In Athurugiriya,"Beds-4, Baths-2 Size-2500sqft",,"39,000,000","554,124"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-1350sqft",,"24,500,000","348,103"
House For Sale In Minuwangoda,"Beds-3, Baths-1 Size-1800sqft",,"8,500,000","120,771"
Land For Sale In Padukka,30 Perches,,"12,750,000","181,156"
House For Sale In Battaramulla,"Beds-3, Baths-3 Size-3200sqft",,"32,000,000","454,665"
House For Sale In Piliyandala,"Beds-3, Baths-3 Size-1550sqft",,"24,000,000","340,999"
Annex For Rent In Kotte,"Beds-1, Baths-1",,,"30,000"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
House For Sale In Veyangoda,"Beds-4, Baths-3 Size-1992sqft",,"24,500,000","348,103"
House For Sale In Mount Lavinia,"Beds-7, Baths-7 Size-3000sqft",,,
Land For Sale In Athurugiriya,20 Perches,,"15,000,000","213,124"
House For Sale In Panadura,"Beds-4, Baths-3 Size-2300sqft",,"44,500,000","632,269"
House For Sale In Attanakadawala,"Beds-4, Baths-1 Size-1500sqft",,"3,600,000","51,150"
Room For Rent In Godagama,"Beds-5, Baths-5",,,"15,000"
House For Sale In Meegoda,"Beds-2, Baths-1 Size-1000sqft",,"9,000,000","127,875"
Land For Sale In Ragama,627 Perches,,,
House For Sale In Karapitiya,"Beds-3, Baths-3 Size-1500sqft",,"22,000,000","312,583"
House For Sale In Uggalboda,"Beds-3, Baths-1 Size-1500sqft",,"6,500,000","92,354"
House For Sale In Ukuwela,"Beds-1, Baths-1 Size-1500sqft",,"2,200,000",
Land For Sale In Lngiriya,1 Acres,,"1,800,000","25,575"
Land For Sale In Melsiripura,4 Acres,,"30,000,000","440,457"
Land For Sale In Horana,32 Perches,,"6,000,000","85,250"
Building For Rent In Akarawita,70000sqft,,,
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
Land For Sale In Kahathuduwa,23.9 Perches,,"9,321,000","132,436"
House For Sale In Athurugiriya,"Beds-4, Baths-2 Size-2500sqft",,"39,000,000","554,124"
Land For Sale In Piliyandala,24 Perches,,"9,360,000","132,990"
Commercial Bare Land For Sale In Colombo 07,15 Perches,,"255,000,000","3,623,115"
House For Sale In Athurugiriya,"Beds-2, Baths-1 Size-1200sqft",,"17,000,000","241,541"
Land For Sale In Bandaragama,60 Perches,,"13,500,000","191,812"
Apartment For Sale In Rajagiriya,"Beds-2, Baths-2 Size-887sqft",,"35,000,000","497,290"
House For Sale In Kesbewa,"Beds-2, Baths-3 Size-3800sqft",,"27,500,000","390,728"
House For Sale In Kurunegala,"Beds-4, Baths-2 Size-sqft",,"24,000,000","340,999"
House For Rent In Malabe,"Beds-4, Baths-4 Size-3500sqft",,,"92,500"
House For Sale In Kaduwela,"Beds-3, Baths-3 Size-2200sqft",,"39,500,000","561,228"
Land For Sale In Malabe,12.5 Perches,,"15,000,000","213,124"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-2900sqft",,"37,000,000","525,707"
House For Sale In Battaramulla,"Beds-3, Baths-3 Size-1900sqft",,"47,500,000","674,894"
House For Rent In Kadawatha,"Beds-3, Baths-2 Size-2000sqft",,,"115,000"
Land For Sale In Mount Lavinia,19.9 Perches,,,
Home For Sale In Gampha,"Beds-3, Baths-2 Size-1700sqft",,"88,000,000","1,250,330"
House For Sale In Kandy,"Beds-10, Baths-4 Size-10sqft",,"12,000,000","170,500"
Land For Sale In Bopagama,15 Perches,,"1,500,000","21,312"
Land For Sale In Piliyandala,9.7 Perches,,"11,640,000","165,385"
House For Sale In Athurugiriya,"Beds-3, Baths-3 Size-2550sqft",,"35,000,000","497,290"
House For Sale In Talawatugoda,"Beds-4, Baths-3 Size-3000sqft",,"50,000,000","710,415"
House For Rent In Colombo 15,"Beds-2, Baths-2 Size-680.625sqft",,,"45,000"
House For Sale In Kandy,"Beds-10, Baths-4 Size-10sqft",,"12,500,000","177,604"
Land For Sale In Kandy,9.75 Perches,,"1,650,000","23,444"
House For Sale In Padukka,"Beds-3, Baths-1 Size-sqft",,"6,800,000","96,616"
Land For Sale In Veyangoda,10 Perches,,"2,100,000","29,837"
House For Sale In Peradeniya,"Beds-6, Baths-3 Size-2500sqft",,,
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
Land For Sale In Nittambuwa,12 Perches,,"3,540,000","50,297"
House For Sale In Mirigama,"Beds-3, Baths-1 Size-sqft",,"9,900,000","140,662"
Land For Sale In Kadawatha,12 Perches,,"8,200,000","116,508"
House For Sale In Marandagahamula,"Beds-4, Baths-2 Size-sqft",,,
House For Sale In Kundasale,"Beds-3, Baths-2 Size-3200sqft",,"28,000,000","397,832"
House For Sale In Ja-Ela,"Beds-3, Baths-1 Size-sqft",,,
House For Sale In Homagama,"Beds-3, Baths-2 Size-1900sqft",,"9,800,000","139,241"
House For Sale In Homagama,"Beds-3, Baths-2 Size-1900sqft",,"17,500,000","248,645"
Restaurant For Rent In Wattala,10000sqft,,,"310,000"
House For Sale In Homagama,"Beds-3, Baths-1 Size-1800sqft",,"9,800,000","139,241"
Land For Sale In Negombo,10 Perches,,"13,500,000","191,812"
House For Sale In Homagama,"Beds-3, Baths-1 Size-2300sqft",,"12,500,000","177,604"
House For Sale In Kiribathgoda,"Beds-5, Baths-2 Size-4900sqft",,"52,500,000","745,936"
House For Sale In Kadawatha,"Beds-1, Baths-1 Size-sqft",,"13,000,000","184,708"
Land For Sale In Ella,34 Perches,,"8,500,000","120,771"
House For Sale In Handessa,"Beds-2, Baths-1 Size-1500sqft",,"80,000,000","1,136,664"
House For Sale In Walpola,"Beds-3, Baths-1 Size-sqft",,"8,500,000","120,771"
House For Sale In Nittambuwa,"Beds-3, Baths-2 Size-2423sqft",,"29,000,000","412,041"
Land For Sale In Divulapitiya,5 Acres,,"52,500,000","745,936"
House For Sale In Katugastota,"Beds-2, Baths-1 Size-2500sqft",,"19,000,000","269,958"
House For Sale In Kiribathgoda,"Beds-2, Baths-2 Size-2500sqft",,"18,000,000","255,749"
House For Rent In Wellampitiya,"Beds-3, Baths-2 Size-1500sqft",,,
Apartment For Sale In Moratuwa,"Beds-3, Baths-2 Size-1250sqft",,"25,000,000","355,207"
